Year,Funding_Source,Experiment,location ,ID,Trt_code,Treatment,Lodging_at_harvest,Height1,Height2,Height3,Height4,Height5,Dry_seedheads(g),Threshed_grain_plot_yield(g),Threshed_grain_yield(kg/ha),Seedhead_in_bag(g),bag_tare(g)
2020,Forever Green,IWG N,Staples,613,2,60 fall,,,,,,,30.7,15.2,408.8192,92.6,61.9
2020,Forever Green,IWG N,Staples,614,8,120 fall split,,,,,,,25.1,8.4,225.9264,86.5,61.4
2020,Forever Green,IWG N,Staples,615,6,80 fall split,,,,,,,22.3,9.3,250.1328,84.3,62
2020,Forever Green,IWG N,Staples,616,15,80 spring split,,,,,,,14.9,6.2,166.7552,76.9,62
2020,Forever Green,IWG N,Staples,617,10,60 spring,,,,,,,8.4,4.2,112.9632,70.4,62
2020,Forever Green,IWG N,Staples,618,18,140 spring split,,,,,,,17.6,7.5,201.72,79.7,62.1
2020,,N rate timing,RSMT V17,101,4,control,,,,,,,173.4,48.9,NA,235.1,61.7
2020,,N rate timing,RSMT V17,102,1,80 Fall,,,,,,,220,51.1,1030.7892,281.6,61.6
2020,,N rate timing,RSMT V17,103,3,80 Spring,,,,,,,182.2,52.2,1052.9784,243.7,61.5
2020,,N rate timing,RSMT V17,104,2,80 Split,,,,,,,238.4,66,1331.352,300.1,61.7
2020,,N rate timing,RSMT V17,201,3,80 Spring,,,,,,,184.2,53.1,1071.1332,245.9,61.7
2020,,N rate timing,RSMT V17,202,2,80 Split,,,,,,,173.7,45.5,917.826,235.5,61.8
2020,,N rate timing,RSMT V17,203,4,control,,,,,,,111.1,39.3,792.7596,173.3,62.2
2020,,N rate timing,RSMT V17,204,1,80 Fall,,,,,,,165.2,40.1,808.8972,227.2,62
2020,,N rate timing,RSMT V17,301,4,control,,,,,,,99.3,33.7,679.7964,161.3,62
2020,,N rate timing,RSMT V17,302,1,80 Fall,,,,,,,199.2,64.2,1295.0424,261,61.8
2020,,N rate timing,RSMT V17,303,3,80 Spring,,,,,,,121.5,36.6,738.2952,183.7,62.2
2020,,N rate timing,RSMT V17,304,2,80 Split,,,,,,,140.8,37.9,764.5188,203,62.2
2020,,N rate timing,RSMT V17,401,1,80 Fall,,,,,,,174.9,52.2,1052.9784,237.2,62.3
2020,,N rate timing,RSMT V17,402,4,control,,,,,,,100,37.2,750.3984,162.5,62.5
2020,,N rate timing,RSMT V17,403,3,80 Spring,,,,,,,127.2,50.4,1016.6688,189.7,62.5
2020,,N rate timing,RSMT V17,404,2,80 Split,,,,,,,151.8,50,1008.6,215.7,63.9
2020,,Bulk Field Sampling,RSMT V17,1,,,,,,,,,171.3,,0,232.6,61.3
2020,,Bulk Field Sampling,RSMT V17,2,,,,,,,,,158.9,,0,221.7,62.8
2020,,Bulk Field Sampling,RSMT V17,3,,,,,,,,,176.8,,0,240.5,63.7
2020,,Bulk Field Sampling,RSMT V17,4,,,,,,,,,149.1,,0,212,62.9
2020,,Bulk Field Sampling,RSMT V17,5,,,,,,,,,188.5,,0,251.3,62.8
2020,,Bulk Field Sampling,RSMT V17,6,,,,,,,,,201.5,,0,263.7,62.2
2020,,Bulk Field Sampling,RSMT V17,7,,,,,,,,,181.8,,0,245.5,63.7
2020,,Bulk Field Sampling,RSMT V17,8,,,,,,,,,148.2,,0,214.3,66.1
2020,,Bulk Field Sampling,RSMT V17,9,,,,,,,,,213.4,,0,277,63.6
2020,,Bulk Field Sampling,RSMT V17,10,,,,,,,,,190,,0,253.4,63.4
2021,,N rate timing,RSMT V17,101,4,control,,,,,,,18.5,6.8,137.1696,77.3,58.8
2021,,N rate timing,RSMT V17,102,1,80 Fall,,,,,,,41.4,14.1,284.4252,100.2,58.8
2021,,N rate timing,RSMT V17,103,3,80 Spring,,,,,,,57.7,17.9,361.0788,116.5,58.8
2021,,N rate timing,RSMT V17,104,2,80 Split,,,,,,,60,13.4,270.3048,118.8,58.8
2021,,N rate timing,RSMT V17,201,3,80 Spring,,,,,,,46.9,17.4,350.9928,105.7,58.8
2021,,N rate timing,RSMT V17,202,2,80 Split,,,,,,,47,19,383.268,105.8,58.8
2021,,N rate timing,RSMT V17,203,4,control,,,,,,,21.8,10.2,205.7544,80.6,58.8
2021,,N rate timing,RSMT V17,204,1,80 Fall,,,,,,,35.5,21.6,435.7152,94.3,58.8
2021,,N rate timing,RSMT V17,301,4,control,,,,,,,28.6,7.6,153.3072,87.4,58.8
2021,,N rate timing,RSMT V17,302,1,80 Fall,,,,,,,78.5,30.2,609.1944,137.3,58.8
2021,,N rate timing,RSMT V17,303,3,80 Spring,,,,,,,56.6,23.3,470.0076,115.4,58.8
2021,,N rate timing,RSMT V17,304,2,80 Split,,,,,,,48.7,19,383.268,107.5,58.8
2021,,N rate timing,RSMT V17,401,1,80 Fall,,,,,,,34.1,13.9,280.3908,92.9,58.8
2021,,N rate timing,RSMT V17,402,4,control,,,,,,,28.8,11.9,240.0468,87.6,58.8
2021,,N rate timing,RSMT V17,403,3,80 Spring,,,,,,,52.1,16.7,336.8724,110.9,58.8
2021,,N rate timing,RSMT V17,404,2,80 Split,,,,,,,33,12.4,250.1328,91.8,58.8
