"year","location","id","block","stand.age","treatment","fall","spring","summer","yield.kgperha","lodging","height_1","height_2","height_3","height_4","height_5","cumn","cumulative.grain.yield"
"2020","Staples","608","3","3","120 spring",0,60,60,126.4,NA,NA,NA,NA,NA,NA,120,1624.5
"2020","Staples","416","1","3","140 spring",0,60,80,166.8,NA,NA,NA,NA,NA,NA,140,1753.4
"2020","Staples","510","2","3","140 spring",0,60,80,231.3,NA,NA,NA,NA,NA,NA,140,1234.2
"2020","Staples","602","3","3","140 spring",0,60,80,228.6,NA,NA,NA,NA,NA,NA,140,1410.8
"2018","Staples","415","1","1","80 spring split",0,60,20,882.2,NA,NA,NA,NA,NA,NA,80,882.2
"2018","Staples","505","2","1","80 spring split",0,60,20,1009,NA,NA,NA,NA,NA,NA,80,1009
"2018","Staples","616","3","1","80 spring split",0,60,20,467.4,NA,NA,NA,NA,NA,NA,80,467.4
"2018","Staples","404","1","1","100 spring split",0,60,40,705.3,NA,NA,NA,NA,NA,NA,100,705.3
"2018","Staples","518","2","1","100 spring split",0,60,40,864.3,NA,NA,NA,NA,NA,NA,100,864.3
"2018","Staples","601","3","1","100 spring split",0,60,40,712.4,NA,NA,NA,NA,NA,NA,100,712.4
"2018","Staples","411","1","1","120 spring split",0,60,60,1170,NA,NA,NA,NA,NA,NA,120,1170
"2018","Staples","504","2","1","120 spring split",0,60,60,690.9,NA,NA,NA,NA,NA,NA,120,690.9
"2018","Staples","603","3","1","120 spring split",0,60,60,699.3,NA,NA,NA,NA,NA,NA,120,699.3
"2018","Staples","412","1","1","140 spring split",0,60,80,759.1,NA,NA,NA,NA,NA,NA,140,759.1
"2018","Staples","512","2","1","140 spring split",0,60,80,888.2,NA,NA,NA,NA,NA,NA,140,888.2
"2018","Staples","618","3","1","140 spring split",0,60,80,460.2,NA,NA,NA,NA,NA,NA,140,460.2
"2019","Staples","415","1","2","80 spring split",0,60,20,489.5,NA,NA,NA,NA,NA,NA,80,1371.7
"2019","Staples","505","2","2","80 spring split",0,60,20,446.5,NA,NA,NA,NA,NA,NA,80,1455.5
"2019","Staples","616","3","2","80 spring split",0,60,20,468,NA,NA,NA,NA,NA,NA,80,935.4
"2019","Staples","404","1","2","100 spring split",0,60,40,591.7,NA,NA,NA,NA,NA,NA,100,1297
"2019","Staples","518","2","2","100 spring split",0,60,40,392.7,NA,NA,NA,NA,NA,NA,100,1257
"2019","Staples","601","3","2","100 spring split",0,60,40,548.7,NA,NA,NA,NA,NA,NA,100,1261.1
"2019","Staples","411","1","2","120 spring split",0,60,60,505.6,NA,NA,NA,NA,NA,NA,120,1675.6
"2019","Staples","504","2","2","120 spring split",0,60,60,220.5,NA,NA,NA,NA,NA,NA,120,911.4
"2019","Staples","603","3","2","120 spring split",0,60,60,376.5,NA,NA,NA,NA,NA,NA,120,1075.8
"2019","Staples","412","1","2","140 spring split",0,60,80,231.3,NA,NA,NA,NA,NA,NA,140,990.4
"2019","Staples","512","2","2","140 spring split",0,60,80,193.7,NA,NA,NA,NA,NA,NA,140,1081.9
"2019","Staples","618","3","2","140 spring split",0,60,80,333.5,NA,NA,NA,NA,NA,NA,140,793.7
"2020","Staples","415","1","3","80 spring split",0,60,20,180.2,NA,NA,NA,NA,NA,NA,80,1551.9
"2020","Staples","505","2","3","80 spring split",0,60,20,250.1,NA,NA,NA,NA,NA,NA,80,1705.6
"2020","Staples","616","3","3","80 spring split",0,60,20,166.8,NA,NA,NA,NA,NA,NA,80,1102.2
"2020","Staples","404","1","3","100 spring split",0,60,40,225.9,NA,NA,NA,NA,NA,NA,100,1522.9
"2020","Staples","518","2","3","100 spring split",0,60,40,201.7,NA,NA,NA,NA,NA,NA,100,1458.7
"2020","Staples","601","3","3","100 spring split",0,60,40,215.2,NA,NA,NA,NA,NA,NA,100,1476.3
"2020","Staples","411","1","3","120 spring split",0,60,60,371.2,NA,NA,NA,NA,NA,NA,120,2046.8
"2020","Staples","504","2","3","120 spring split",0,60,60,129.1,NA,NA,NA,NA,NA,NA,120,1040.5
"2020","Staples","603","3","3","120 spring split",0,60,60,110.3,NA,NA,NA,NA,NA,NA,120,1186.1
"2020","Staples","412","1","3","140 spring split",0,60,80,344.3,NA,NA,NA,NA,NA,NA,140,1334.7
"2020","Staples","512","2","3","140 spring split",0,60,80,223.2,NA,NA,NA,NA,NA,NA,140,1305.1
"2020","Staples","618","3","3","140 spring split",0,60,80,201.7,NA,NA,NA,NA,NA,NA,140,995.4
"2018","Staples","408","1","1","control",0,0,0,487.7,NA,NA,NA,NA,NA,NA,0,487.7
"2018","Staples","517","2","1","control",0,0,0,320.4,NA,NA,NA,NA,NA,NA,0,320.4
"2018","Staples","605","3","1","control",0,0,0,263,NA,NA,NA,NA,NA,NA,0,263
"2019","Staples","408","1","2","control",0,0,0,521.8,NA,NA,NA,NA,NA,NA,0,1009.5
"2019","Staples","517","2","2","control",0,0,0,53.79,NA,NA,NA,NA,NA,NA,0,374.19
"2019","Staples","605","3","2","control",0,0,0,134.5,NA,NA,NA,NA,NA,NA,0,397.5
"2020","Staples","408","1","3","control",0,0,0,177.5,NA,NA,NA,NA,NA,NA,0,1187
"2020","Staples","517","2","3","control",0,0,0,56.48,NA,NA,NA,NA,NA,NA,0,430.67
"2020","Staples","605","3","3","control",0,0,0,75.31,NA,NA,NA,NA,NA,NA,0,472.81
"2018","Staples","406","1","1","80 fall",0,0,20,457.8,NA,NA,NA,NA,NA,NA,20,457.8
"2018","Staples","511","2","1","80 fall",0,0,20,486.5,NA,NA,NA,NA,NA,NA,20,486.5
"2018","Staples","610","3","1","80 fall",0,0,20,546.3,NA,NA,NA,NA,NA,NA,20,546.3
"2018","Staples","402","1","1","100 fall",0,0,40,584.5,NA,NA,NA,NA,NA,NA,40,584.5
"2018","Staples","501","2","1","100 fall",0,0,40,567.8,NA,NA,NA,NA,NA,NA,40,567.8
"2018","Staples","612","3","1","100 fall",0,0,40,509.2,NA,NA,NA,NA,NA,NA,40,509.2
"2018","Staples","417","1","1","120 fall",0,0,60,510.4,NA,NA,NA,NA,NA,NA,60,510.4
"2018","Staples","513","2","1","120 fall",0,0,60,375.3,NA,NA,NA,NA,NA,NA,60,375.3
"2018","Staples","604","3","1","120 fall",0,0,60,219.9,NA,NA,NA,NA,NA,NA,60,219.9
"2018","Staples","407","1","1","60 fall",0,0,0,500.9,NA,NA,NA,NA,NA,NA,0,500.9
"2018","Staples","515","2","1","60 fall",0,0,0,387.3,NA,NA,NA,NA,NA,NA,0,387.3
"2018","Staples","613","3","1","60 fall",0,0,0,351.4,NA,NA,NA,NA,NA,NA,0,351.4
